,id,ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4
0,id184975179892101,"When we talk about Michigan’s clean energy future, we often focus on renewables like universal wind and solar. However, natural gas plays an increasingly critical role in helping Michigan lower carbon emissions, increase energy efficiency, and secure the cleaner energy future all Michiganders deserve. Learn more: https://bit.ly/39aUYff",GC,,,
1,id402878104043058,Find ways to use water wisely! Turning down your water heater to 120 degrees F can save 550 pounds of CO2 emissions per year and using a low-flow shower head can save another 350 pounds of CO2 per year.,,,,
2,id843261983084626,"Michigan needs safe, affordable, and reliable clean energy. Our local energy providers are powering entire communities, from homes to small businesses, schools, and hospitals. With the right policies in place, we can be the #MICleanEnergyLeaders our state and nation deserve. Watch our new video and SHARE with your friends to help raise awareness about Michigan’s clean energy future!",PA,,,
3,id1074204226345529,"Stay warmer as the temperatures drop by grabbing an extra layer of clothing or a blanket instead of cranking up the heat. That way you can save electricity, lower energy costs, and help Michigan continue to reduce carbon emissions.",,,,
4,id364428341422618,Thank you to everyone who participated in our summer energy efficiency challenge! Check out our latest blog post to take a look back at the challenge as well as a look ahead to the fall and winter for how to continue practicing smart energy efficiency techniques all year-round. https://bit.ly/3lnq9qA,,,,
5,id411191383593828,Learn about United for Infrastructure and how MPSC Chairman Sally Talberg’s bold decisions have impacted Michigan’s infrastructure. https://bit.ly/3mrkBwr,,,,
6,id297684748133299,Michigan Governor Gretchen Whitmer recognized the hard work by the Michigan Public Service Commission and local energy providers to protect vulnerable Michigan households from service interruptions throughout the COVID-19 pandemic. Read more here: https://bit.ly/39fs0ZP,PA,,,
7,id213585936499246,"General Motors is helping drive the transition to a more sustainable, cleaner energy future as the Michigan-based company signs on ""to source 500,000 megawatt hours of solar energy as part of DTE’s MIGreenPower program."" Along with commitments to purchasing wind energy, that brings GM's total renewable investment to more than 800,000 megawatt hours, roughly the amount of electricity used by more than 100,000 in an average year. https://detroit.cbslocal.com/2020/04/20/gm-dte-energy-partner-on-michigans-largest-renewable-energy-investment/",GA,,,
8,id1267664080103987,Summer is the perfect time to smarten up your energy use. We encourage you to join us in the AMP Energy Efficiency Challenge and find ways to cut down on wasted energy. Making changes can be as simple as turning off the water while you brush your teeth or unplugging a power strip when it’s not in use. Get started at https://bit.ly/3f90e3j #AMPEnergyEfficiency,,,,
9,id783573062181188,"In a ""first-of-its-kind"" move among natural gas companies, DTE Gas has pledged to achieve net zero carbon emissions by 2050, expanding on the commitment the local energy provider already made to reach this goal in its electric operations. By working with suppliers, improving its operations, and partnering with customers, DTE Energy is helping to build a truly sustainable, cleaner energy future for all Michigan homes and businesses. https://bit.ly/3dQIHLM",GA,,,
10,id191659312281616,Local energy provider DTE Energy recently activated Michigan's largest batch of wind turbines at Polaris Wind Park in Gratiot County. The 68 wind turbines represent a big step toward a cleaner energy future and Polaris is just the first of four wind parks DTE Energy plans to commission this year. https://www.freep.com/story/news/local/michigan/2020/04/23/dte-energy-windmills-wind-turbines-polaris/3007957001/,GA,,,
11,id193418628757100,"Establishing a professional maintenance schedule for your air conditioner, keeping filters clean can help reduce your energy use by 15% and keep your AC running smoothly all summer long. Check out more ideas to improve your #summerenergyefficiency around your home: https://bit.ly/3hGMoXt",,,,
12,id256852092275275,"Some scammers use phishing emails or social media posts and messages with malicious attachments to collect personal information or ask you to send money to a third-party. If it looks suspicious, it probably is. Don’t click on any links or download any attachments from sources you don’t know and trust.",,,,
13,id271543317413806,"Michigan businesses are slowly but surely starting to reopen, but many families will be facing tough economic times for a while yet. Energy assistance programs have never been more important, especially for low-income families. Find out how changes to the State Emergency Relief program can help struggling families: https://bit.ly/3dICPEl",,,,
14,id3079984812095365,"Our latest blog post takes a closer look at how electric rates are determined, who’s in charge of setting them, and how rate increases benefit Michiganders by funding critical updates to our electric grid. Read more on the AMP blog: https://bit.ly/2Yhg58v",,,,
15,id283195726255403,"Sometimes the best way to avoid a utility scammer is just to ignore them. If someone shows up at your door posing as a utility worker and demanding payment or else your electricity may be cut off, give them the cold shoulder. Better to be safe than sorry!",,,,
16,id325427268857513,"If storms have caused outages in your area, remember:
- Stay away from downed powered lines.
- Report a downed power line to your electric provider. If you are a DTE Energy customer, call 800-477-4747. If Consumers Energy is your provider, dial 800-477-5050.
- Rest assured local energy providers will resolve the issue as quickly as possible
Learn more here: https://bit.ly/2MLGRAD",,,,
17,id321410458886041,Don’t trust texts or calls from unknown numbers—especially if they’re asking for utility payments or personal information over the phone. Some scammers even use caller ID “spoofing” to appear as though they’re your local energy provider calling. Don’t fall for it!,,,,
18,id2710843635906926,Tell Congress: Include funding for energy assistance in the next round of COVID-19 relief.,,,,
19,id3050290955040161,Tell Congress to extend funding for LIHEAP & help protect vulnerable Michigan households.,,,,
20,id260992275016198,"Local energy providers in Michigan and across the country are well-equipped to help keep energy reliable during the COVID-19 pandemic. Why? “Disaster planning is baked into the DNA of electric and gas utilities, which regularly deal with hurricanes, earthquakes, cyberattacks and other disruptions that threaten to disable critical infrastructure. https://lat.ms/2x1XdB3",PA,,,
21,id2971965069559251,"Facebook: Michigan has made leaps and bounds when it comes to securing a cleaner, more sustainable energy future over the years. Check out our latest blog post for a timeline of Michigan’s clean energy progress. https://allianceformichiganpower.com/amp-celebrates-michigans-clean-energy-milestones/",GA,,,
22,id285038129335511,"Beware of utility scams! The COVID-19 emergency funding from Congress could bring utility scammers out of the woodwork, targeting vulnerable Michiganders who have just received their stimulus checks. If someone contacts you claiming to be from a local energy provider and threatens to shut off your power unless you pay them on the spot, don’t trust them. Call your local provider to be safe.",,,,
